Division,Venue,Field,Date,Time,Home,Away,Group
12U Boy,Region 128,1,45962,0.375,12B 128 Breedlove,12UB - R124 - Guzzo,A
12U Boy,Region 128,1,45962,0.4375,12B 128 Skeen,12UB - R124 - Hamler,B
12U Boy,Region 128,1,45962,0.5,12UB-R390-Gentry,12B 128 Breedlove,A
12U Boy,Region 128,1,45962,0.5625,12UB-R385-Laxton,12B 128 Skeen,B
12U Boy,Region 128,1,45962,0.625,12UB - R124 - Guzzo,12UB-R390-Gentry,A
12U Boy,Region 128,1,45962,0.6875,12UB - R124 - Hamler,12UB-R385-Laxton,B
12U Boy,Region 128,2,45962,0.375,12B 128 Porter,12UB - R124 - Lee,C
12U Boy,Region 128,2,45962,0.4375,Yohe,12UB - R124 - Reuss,D
12U Boy,Region 128,2,45962,0.5,R279 10 U B Hall,12B 128 Porter,C
12U Boy,Region 128,2,45962,0.5625,12UB-R440-Heissenberg,Yohe,D
12U Boy,Region 128,2,45962,0.625,12UB - R124 - Lee,R279 10 U B Hall,C
12U Boy,Region 128,2,45962,0.6875,12UB - R124 - Reuss,12UB-R440-Heissenberg,D
12U Boy,Region 128,3,45962,0.375,12UB-R1159-Kemp,12UB-R335-Johnson,E
12U Boy,Region 128,3,45962,0.4375,12UB-R1390-ALCARES,12UB-R325-Smith,F
12U Boy,Region 128,3,45962,0.5,12UB-R335-Johnson,12UB-R440-Black,E
12U Boy,Region 128,3,45962,0.5625,12UB-R325-Smith,12UB-R335-Gonzalez,F
12U Boy,Region 128,3,45962,0.625,12UB-R325-Perdue,12UB-R1159-Kemp,E
12U Boy,Region 128,3,45962,0.6875,12UB-R335-Ferguson ,12UB-R1390-ALCARES,F
12U Boy,Region 128,4,45962,0.375,12UB-R440-Black,12UB-R325-Perdue,E
12U Boy,Region 128,4,45962,0.4375,12UB-R335-Gonzalez,12UB-R335-Ferguson ,F
12U Girl,Region 128,4,45962,0.5,12 g 128 Jensen,12UG - R124 - Lynn,GA
12U Girl,Region 128,4,45962,0.5625,Swanson,12 g 128 Jensen,GA
12U Girl,Region 128,4,45962,0.6875,12UG - R124 - Lynn,Swanson,GA
12U Girl,Region 128,5,45962,0.375,12g 128 De La Torre,12UG-R440-Miller,GB
12U Girl,Region 128,5,45962,0.4375,12G 128 Boyce,12UG - R124 - Studer,GC
12U Girl,Region 128,5,45962,0.5,12UG-R335-Schoenrock,12g 128 De La Torre,GB
12U Girl,Region 128,5,45962,0.5625,12UG - R124 - Studer,12UG-R390-POST,GC
12U Girl,Region 128,5,45962,0.625,12UG-R440-Miller,12UG-R335-Schoenrock,GB
12U Girl,Region 128,5,45962,0.6875,12UG-R390-POST,12G 128 Boyce,GC
12U Girl,Region 128,6,45962,0.375,12UG-R337-MOLONEY,12UG-R385-Hodges,GD
12U Girl,Region 128,6,45962,0.4375,12UG-R440-Azpurua,12UG-R335-Dalton,GD
12U Girl,Region 128,6,45962,0.5625,12UG-R337-MOLONEY,12UG-R335-Dalton,GD
12U Girl,Region 128,6,45962,0.625,12UG-R385-Hodges,12UG-R440-Azpurua,GD
